ranking,ISBN,title,author,publisher,genre,year
74,9784255353579 ,話して学ぶフランス文法,増田一夫,朝日出版社,仏語,2024
75,9784255557021 ,チンチャ！チョアヘヨ！！韓国語　１,金庚芬,朝日出版社,各国語,2024
76,9784269630222 ,こうすれば英語が聞ける,中郷安浩,英宝社,英米語,2024
77,9784641053786 ,国際政治学,中西寛,有斐閣,政治,2024
78,9784563023232 ,熱力学入門講義,風間洋一,培風館,物理学,2024
79,9784065319048 ,語りかける量子化学,北條博彦,講談社,化学,2024
80,9784130620055 ,解析入門　１,杉浦光夫,東京大学出版会,数学,2024
81,9784781909653 ,数理系のための基礎と応用微分積分　１,金子晃（数学）,サイエンス社,数学,2024
82,9784807909087 ,アトキンス物理化学　上,ピーター・Ｗ．アトキンス,東京化学同人,化学,2024
83,9784163913629 ,東京大学「ボーカロイド音楽論」講義,鮎川ぱて,文藝春秋,日文評論,2024
84,9784255352756 ,リズコミ！フランス語会話ー自立思考と自由会話,,朝日出版社,仏語,2024
85,9784781912547 ,演習電磁気学,加藤正昭,サイエンス社,物理学,2024
86,9784781911380 ,演習力学,今井功,サイエンス社,物理学,2024
87,9784255353050 ,グラメール・アクティーヴ,大木充,朝日出版社,仏語,2024
88,9784860420970 ,明快フランス語文法,渡邊淳也,早美出版社,仏語,2024
89,9784010753125 ,プチ・ロワイヤル仏和辞典小型版,倉方秀憲,旺文社,仏語,2024
90,9784785322328 ,熱力学,松下貢,裳華房,物理学,2024
91,9784623071449 ,比較政治学,粕谷祐子,ミネルヴァ書房,政治,2024
92,9784883842490 ,演習ミクロ経済学,武隈慎一,新世社（渋谷区）,経済財政,2024
93,9784641115552 ,国際法判例百選,森川幸一,有斐閣,法律,2024
94,9784255555041 ,ロシア語をはじめよう,,朝日出版社,各国語,2024
95,9782014015812 ,Spirale　Nouvelle　edition/Livere　de　l’ele,,,,2024
96,9784623086542 ,赤ちゃんの心はどのように育つのか,今福理博,ミネルヴァ書房,心理,2024
97,9784863984547 ,聞いて話す初級中国語インテンシブ,小嶋美由紀,白帝社,各国語,2024
98,9784641227842 ,立憲主義と日本国憲法,高橋和之,有斐閣,法律,2024
99,9784595324703 ,ヨーロッパ政治史,中山洋平,放送大学教育振興会,政治,2024
100,9784150124342 ,三体,劉慈欣,早川書房,外文小説,2024
1,9784130821353 ,東大英語リーディング　多元化する世界を英語で読む,東京大学教養学部英語部会,東京大学出版会,英米語,2023
2,9784130527071 ,身体運動・健康科学ベーシック,東京大学身体運動科学研究室,東京大学出版会,体育スポ,2023
3,9784130624572 ,情報,山口和紀,東京大学出版会,情報科学,2023
4,9784807907953 ,基礎化学実験,東京大学,東京化学同人,化学,2023
5,9784780611632 ,基礎物理学実験　２０２３秋ー２０２４春,東京大学教養学部基礎物理学実験テキスト編,学術図書出版社,物理学,2023
6,9784758120753 ,演習で学ぶ生命科学,東京大学生命科学教科書編集委員会,羊土社,生物学,2023
7,9784255551111 ,スペイン語学習の羅針盤,東京大学教養学部スペイン語部会,朝日出版社,各国語,2023
8,9784883841400 ,入門統計解析,倉田博史,新世社（渋谷区）,経済財政,2023
9,9784863984226 ,漢語課本,小野秀樹（中国語）,白帝社,各国語,2023
10,9784781915555 ,３ＤーＣＡＤで学ぶ図形科学入門,横山ゆりか,サイエンス社,電子通信,2023
11,9784759810844 ,量子化学,真船文隆,化学同人,化学,2023
12,9784065225479 ,現代物性化学の基礎,小川桂一郎,講談社,化学,2023
13,9784130624589 ,Ｐｙｔｈｏｎによるプログラミング入門　東京大学教養学部テキスト,森畑明昌,東京大学出版会,情報科学,2023
14,9784758121026 ,理系総合のための生命科学,東京大学生命科学教科書編集委員会,羊土社,生物学,2023
15,9784130622271 ,基礎生命科学実験,東京大学教養学部基礎生命科学実験編集委員,東京大学出版会,生物学,2023
16,9784785322496 ,マクスウェル方程式から始める電磁気学,小宮山進,裳華房,物理学,2023
17,9784780610352 ,基礎物理学実験　２０２２秋ー２０２３春,東京大学教養学部基礎物理学実験テキスト編,学術図書出版社,物理学,2023
18,9784641124547 ,現代政治理論,川崎修,有斐閣,政治,2023
19,9784863985551 ,初修中国語演習テキスト,毛興華,白帝社,各国語,2023
20,9784130622301 ,進化と人間行動,長谷川寿一,東京大学出版会,生物学,2023
21,9784641139619 ,判例刑法総論,山口厚,有斐閣,法律,2023
22,9784641115453 ,憲法判例百選　１,長谷部恭男,有斐閣,法律,2023
23,9784130121170 ,心理学,鹿取広人,東京大学出版会,心理,2023
