ranking,title
278,歴史哲学講義　上
279,形而上学入門
280,眠れる美女
281,ヨーロッパ諸学の危機と超越論的現象学
282,数値解析
283,共分散構造分析　入門編
284,統計でウソをつく法
285,大学中庸
286,組織の経済学
287,日本人の法意識
288,サバルタンは語ることができるか
289,生きがいについて
290,ニーチェ入門
291,数値解析入門
292,線型代数演習
293,多変量解析法入門
294,ヨーロッパの政治
295,政治学史
296,クロニクル社会学
297,日本政治思想史研究
298,流体力学　前編
299,宗教的経験の諸相　上
300,歴史　上
301,若きウェルテルの悩み
302,万延元年のフットボール
303,タテ社会の人間関係
304,日はまた昇る
305,プラズマ物理入門
306,時間の比較社会学
307,方丈記
308,サンスクリット文法
309,現代倫理学入門
310,コーラン　下
311,白痴
312,研究社露和辞典（携帯版）
313,知識の社会史
314,コーラン　中
315,細雪　中巻
316,集合への３０講
317,解析力学　１
318,場所の現象学
319,偏微分方程式入門
320,細雪　下巻
321,物語の構造分析
322,歴史哲学講義　下
323,マクベス
324,宗教の理論
325,物理学とは何だろうか　上
326,存在論的、郵便的
327,強磁性体の物理　下
328,ベンヤミン「複製技術時代の芸術作品」精読
329,心理学研究法入門
330,宗教的経験の諸相　下
331,白鯨　中
332,小説の技巧
333,Ｘ線構造解析
334,韓非子　第１冊
335,それでも人生にイエスと言う
336,定本トランジスタ回路の設計
337,電磁気学　上
338,美学辞典
339,独文解釈の研究
340,現代社会の理論
341,ジンメル・コレクション
342,五重塔
343,禅と日本文化
344,歴史　中
345,ゲーテとの対話　上
346,物理学とは何だろうか　下
347,経験と教育
348,帝国
349,レトリック感覚
350,複素解析
351,銀河鉄道の夜
352,笑い
353,雁
354,解析演習
355,再帰的近代化
356,超伝導入門　上
357,科学の方法
358,応用カルマンフィルタ
359,歴史　下
360,素粒子物理学の基礎　１
361,自動車の社会的費用
362,共分散構造分析　疑問編
363,雪国
364,意志と表象としての世界　１
365,シュルレアリスム宣言／溶ける魚
366,村上春樹、河合隼雄に会いにいく
367,遊びと人間
368,法と社会
369,管理される心
370,アナーキー・国家・ユートピア
371,プロレゴメナ
372,〈子供〉の誕生
373,近世古文書解読字典
374,あなたへの社会構成主義
375,祈りの海
376,性の歴史　２
377,認知言語学
378,ロボット
379,流体力学　２
380,偶然を飼いならす
381,永すぎた春
382,近代とはいかなる時代か？
383,夢判断　上巻
384,反応速度論
385,性の歴史　３
386,萩原朔太郎詩集
387,ヴィルヘルム・マイスターの修業時代　中
388,伊豆の踊子／温泉宿
389,モンテ・クリスト伯　３
390,標準ドイツ語
391,資本論　３
392,乱流力学
393,カラマーゾフの兄弟　第４巻
394,山椒大夫／高瀬舟
395,カラマーゾフの兄弟　第３巻
396,相対性理論
397,ロボット制御基礎論
398,ゴッフマンの社会学　４
399,共分散構造分析　応用編
400,微分方程式入門
401,過去と未来の間
402,イデーン　２ー１
403,可換環論
